county,year,month,temperature,mu,sigma,norm_loss,quantile_score
San Bernardino,2021,1,9.656289249371014,9.54212807408861,1.3602383566793512,-1.2301203783343868,0.16241653641746953
San Bernardino,2021,2,12.108558266864009,11.248680713243285,1.6729625706524804,-1.565624837683215,0.2845265802596574
San Bernardino,2021,3,13.16307677395281,14.608565575434914,1.7840631865694687,-1.826062537566424,0.4343221666370282
San Bernardino,2021,4,20.16580021444128,18.013325671099274,1.6486358671826151,-2.271194730604716,0.6922105174121788
San Bernardino,2021,5,24.068040185989503,22.557622141456015,2.0508899273328587,-1.9084060645866605,0.4564459711118505
San Bernardino,2021,6,31.073205135009346,27.753457258047707,1.7438361397582511,-3.2870704037672573,1.198896698464633
San Bernardino,2021,7,32.88698543773131,30.901038157197448,1.254220991948815,-2.3990483433568635,0.6762051571259338
San Bernardino,2021,8,31.64617473928996,30.35034391156713,0.9817654654043555,-1.7716018097409072,0.41795150315011
San Bernardino,2021,9,28.03568846085085,26.754569614942767,1.0729903522774287,-1.7021708034847736,0.4028131389138463
San Bernardino,2021,10,18.50628372034373,20.116077479670196,1.4881478868586069,-1.901554955232412,0.4957921966217784
San Bernardino,2021,11,16.267183119788058,13.494217686482044,1.6720566892769093,-2.8081646348783194,0.9580799343780428
San Bernardino,2021,12,9.05081378827282,8.710628643688969,1.1069611777019952,-1.0677781962731885,0.15148101332164735
San Joaquin,2021,1,9.961525068876142,9.146239621883234,1.142575322710156,-1.306800619558278,0.24728198958406886
San Joaquin,2021,2,11.639395559282889,11.009705703501126,1.132608145419145,-1.1980098301512818,0.20238242536711437
San Joaquin,2021,3,12.479057985336851,13.249669845617104,1.3256833177252838,-1.369817973050139,0.24417488640991178
San Joaquin,2021,4,16.525153763900562,15.673176826144731,1.2939426402053873,-1.3934006314970677,0.2617873124648539
San Joaquin,2021,5,20.3310128607526,19.029903936274756,1.69355609492559,-1.7408887107148943,0.3918372070907738
San Joaquin,2021,6,23.390079127263,22.18937683777856,1.1132142172550143,-1.6078687986251536,0.369604598070392
San Joaquin,2021,7,24.83082807122247,23.728715695514637,0.9485135959615834,-1.5411273572528648,0.34439179620923754
San Joaquin,2021,8,23.71210544793212,23.16422827196197,0.9221982466519195,-1.0144203608257636,0.17252720331821758
San Joaquin,2021,9,22.02829748129949,21.685465027511242,0.8188091513427624,-0.8066876271922759,0.12510843300963684
San Joaquin,2021,10,16.970893110239842,17.712784108607384,1.0548339668772633,-1.219654870591789,0.22543697727448583
San Joaquin,2021,11,12.773815008662552,12.377989830501594,1.1221303386590298,-1.0963818011120676,0.16023027287547106
San Joaquin,2021,12,8.77699700851963,8.933989967121503,1.437357285787793,-1.2877096111396564,0.173037815249861
Solano,2021,1,10.505655722210918,9.42017288308864,1.053056616525089,-1.501902098044439,0.331642259645343
Solano,2021,2,12.301731715042536,11.160212241259526,1.1955158916364104,-1.5533705196818517,0.3453402058579685
Solano,2021,3,12.68874769526076,13.111724464978574,1.3390361851977344,-1.260779187206773,0.18468752705981273
Solano,2021,4,16.013196623991917,15.337711621950463,1.32998429687357,-1.3330815186517875,0.22459825778540438
Solano,2021,5,19.820282999021288,18.308956800744813,1.5858943149342928,-1.8341728391593115,0.45713020424026046
Solano,2021,6,21.75793108477717,21.128013916539125,1.0303504233001746,-1.135719285069412,0.19680306107363693
Solano,2021,7,21.773489227848927,21.874304282793823,0.8684773167224624,-0.7846623001246199,0.10482335905433705
Solano,2021,8,21.798884838896186,21.687831366805,0.9208237632958645,-0.8437243770009099,0.11133064112490366
Solano,2021,9,21.164872974337698,20.90446887488182,0.9695309457894832,-0.9240653275241997,0.12840015421125484
Solano,2021,10,16.90851601718464,17.715982392723507,1.1080767685081507,-1.2870733747688063,0.24431190909201828
Solano,2021,11,13.303770434002445,12.766761863002518,1.0798793956548676,-1.1194344264377838,0.18010686835652245
Solano,2021,12,8.991566600606859,9.420659319693518,1.2553110882389715,-1.2047430319807908,0.1773775922989442
Stanislaus,2021,1,10.059577104554023,9.180872468795709,1.1145907600831724,-1.3381857320005703,0.26428592462151296
Stanislaus,2021,2,11.414284891463469,10.88208586082031,1.2268857968251867,-1.2175003438888505,0.1905441424665682
Stanislaus,2021,3,12.236804017745214,13.167190367824167,1.4785991025540077,-1.5080019816338022,0.28867261752446616
Stanislaus,2021,4,16.996227254933274,15.780684000677946,1.4703195961315398,-1.6461516604835227,0.36517070169343513
Stanislaus,2021,5,20.977164956571244,19.566605554778874,1.9057775137368071,-1.8377389046814019,0.4260518389381094
Stanislaus,2021,6,25.043183602647844,23.278374567356764,1.346402024356176,-2.075419430629135,0.5681485760586586
Stanislaus,2021,7,27.535112323479662,25.73413133840952,1.1785287626388055,-2.2508424861760945,0.6064444032293834
Stanislaus,2021,8,25.956538805459616,24.95328656508365,1.0295865415024645,-1.4228453944839952,0.30423382313815994
Stanislaus,2021,9,23.71259915896036,22.823180244752734,0.876147398538519,-1.3019799020773841,0.271150948944178
Stanislaus,2021,10,17.33823323480277,18.134271926821935,1.2152421187614255,-1.328424066350705,0.24484544725069254
Stanislaus,2021,11,13.221782115567464,12.527222524661397,1.2119224371760826,-1.275371463645989,0.22106634718379933
Stanislaus,2021,12,8.98890396851914,8.9164448418397,1.3372980537946908,-1.2110576449278405,0.15855598699305998
Tulare,2021,1,4.609299594534377,4.2039410539737005,1.284416369328602,-1.2190438386820532,0.17710798417409662
Tulare,2021,2,5.835125942535569,5.193574250207041,1.558342986865214,-1.4473052611915433,0.2362961815780889
Tulare,2021,3,5.993906312035165,7.445221121146879,1.6117381374569033,-1.8016709003293585,0.43703631590207187
Tulare,2021,4,11.83269375014379,10.099428881497355,1.637177103654297,-1.9723254620804052,0.5318861996230887
Tulare,2021,5,16.429501978117287,14.51297011516593,2.023184168654868,-2.072285488969432,0.579395146567565
Tulare,2021,6,23.24581092250753,19.640177799951914,1.7835987718184962,-3.5409027349907825,1.327081961044329
Tulare,2021,7,26.25927676049946,23.24912892931588,1.3931666622229477,-3.5847256145895146,1.1310676194749527
Tulare,2021,8,24.725901479998697,22.67090964707829,1.1498142549319668,-2.6556489403833887,0.7273382888406476
Tulare,2021,9,21.53438548773687,19.567608855308322,1.1790951923414013,-2.4748627558536915,0.680830273694115
Tulare,2021,10,12.81915141514594,13.969781416683334,1.5643727409873134,-1.6369195126580778,0.3477697805291048
Tulare,2021,11,10.366331421723146,8.068239789108972,1.797591040044859,-2.32257571663738,0.7348205722704274
Tulare,2021,12,4.352208973444874,3.852548324469872,1.40411539287849,-1.3216622031969922,0.2010907171255124
Fresno,2022,1,5.83772758569728,5.240212367358965,1.176954003559855,-1.2107374316824175,0.1987068810125287
Fresno,2022,2,6.80540405309921,6.398470461726101,1.3968403345535059,-1.2955862514166916,0.1885288300163863
Fresno,2022,3,10.205065886979924,8.746602788376494,1.6457876556614837,-1.8098145753237533,0.43878799559715453
Fresno,2022,4,12.438805150016831,11.467956669818276,1.6239148092908882,-1.5824873183389185,0.30518842663929835
Fresno,2022,5,16.7146020957573,15.700487421676447,1.9873726678258032,-1.7359443961682066,0.33654873382226386
Fresno,2022,6,22.351733685383977,20.517292472300202,1.7037865875222662,-2.0314168490257964,0.5645196299190308
