county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Fresno,2023,8,24.014566145561616,53.584063481090254,23.443535,6.708337,5.0,23.238126177678094
Fresno,2023,9,20.00183147869581,36.54832739607545,12.45835,6.0374956,5.0,20.25666262706951
Fresno,2023,10,15.887224961901666,33.696670352689004,18.72339,3.5378523,5.0,14.799771559775353
Fresno,2023,11,9.571565878336571,15.86420883102444,8.817482,3.3256664,5.0,8.744713141070942
Fresno,2023,12,7.235348810925132,9.740196130821328,6.2392125,1.3236492,5.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,17.850824425164465,10.234747,3.4581485,6.0,11.40994578724475
Fresno,2023,5,15.847716475432437,25.72022162474535,14.286436,3.2944026,6.0,15.726880869216993
Fresno,2023,6,18.7673322009137,45.2259098371288,12.436257,6.1037097,6.0,20.532048256639754
Fresno,2023,7,26.13362508312997,40.75244916311294,20.764885,3.7676916,6.0,23.929567634365842
Fresno,2023,8,24.014566145561616,52.821933703911455,23.443535,6.708337,6.0,23.238126177678094
Fresno,2023,9,20.00183147869581,32.9791923090679,12.45835,6.0374956,6.0,20.25666262706951
Fresno,2023,10,15.887224961901666,33.53030511066402,18.72339,3.5378523,6.0,14.799771559775353
Fresno,2023,11,9.571565878336571,20.546814155219618,8.817482,3.3256664,6.0,8.744713141070942
Fresno,2023,12,7.235348810925132,10.227652556341539,6.2392125,1.3236492,6.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,23.819604636523383,10.234747,3.4581485,7.0,11.40994578724475
Fresno,2023,5,15.847716475432437,35.88089787801004,14.286436,3.2944026,7.0,15.726880869216993
Fresno,2023,6,18.7673322009137,25.597719175025908,12.436257,6.1037097,7.0,20.532048256639754
Fresno,2023,7,26.13362508312997,49.87088014604011,20.764885,3.7676916,7.0,23.929567634365842
Fresno,2023,8,24.014566145561616,44.184252895739554,23.443535,6.708337,7.0,23.238126177678094
Fresno,2023,9,20.00183147869581,26.272340625899318,12.45835,6.0374956,7.0,20.25666262706951
Fresno,2023,10,15.887224961901666,27.000455646276123,18.72339,3.5378523,7.0,14.799771559775353
Fresno,2023,11,9.571565878336571,18.422841804704934,8.817482,3.3256664,7.0,8.744713141070942
Fresno,2023,12,7.235348810925132,9.791789808913226,6.2392125,1.3236492,7.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,22.68797403517544,10.234747,3.4581485,8.0,11.40994578724475
Fresno,2023,5,15.847716475432437,32.54949788810204,14.286436,3.2944026,8.0,15.726880869216993
Fresno,2023,6,18.7673322009137,36.75765655861133,12.436257,6.1037097,8.0,20.532048256639754
Fresno,2023,7,26.13362508312997,44.563976246822406,20.764885,3.7676916,8.0,23.929567634365842
Fresno,2023,8,24.014566145561616,44.67941457864665,23.443535,6.708337,8.0,23.238126177678094
Fresno,2023,9,20.00183147869581,39.020205066269604,12.45835,6.0374956,8.0,20.25666262706951
Fresno,2023,10,15.887224961901666,30.325682737626174,18.72339,3.5378523,8.0,14.799771559775353
Fresno,2023,11,9.571565878336571,18.385605483567804,8.817482,3.3256664,8.0,8.744713141070942
Fresno,2023,12,7.235348810925132,11.360022929968867,6.2392125,1.3236492,8.0,4.970274555082357
Fresno,2023,1,4.845747882872217,,,,,
Fresno,2023,2,4.241971456664828,,,,,
Fresno,2023,3,6.04773968143968,,,,,
Fresno,2023,4,11.726772934920518,18.163721578063473,10.234747,3.4581485,9.0,11.40994578724475
Fresno,2023,5,15.847716475432437,25.854590143751416,14.286436,3.2944026,9.0,15.726880869216993
Fresno,2023,6,18.7673322009137,40.62145256044026,12.436257,6.1037097,9.0,20.532048256639754
